SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
20MICRONS,20 Microns Limited,11.233179,34.138,,0.123,6847352832.0,Basic Materials,Other Industrial Metals & Mining
21STCENMGM,21st Century Management Services Limited,1.7287374,,,,703397632.0,Financial Services,Capital Markets
360ONE,360 ONE WAM LIMITED,32.685184,278.92,,0.336,339822051328.0,Financial Services,Asset Management
3IINFOLTD,3i Infotech Limited,,27.58,,,3779111680.0,Technology,Information Technology Services
3MINDIA,3M India Limited,54.347565,6.174,,-0.159,315387543552.0,Industrials,Conglomerates
3PLAND,3P Land Holdings Limited,,,,,,,
5PAISA,5Paisa Capital Limited,16.781137,29.297,,0.06,10271094784.0,Financial Services,Capital Markets
63MOONS,63 moons technologies limited,,0.207,,,31287302144.0,Technology,Software - Application
A2ZINFRA,A2Z Infra Engineering Limited,82.38095,492.192,,,3046875904.0,Industrials,Engineering & Construction
AAATECH,AAA Technologies Limited,33.235294,,,-0.623,869657088.0,Technology,Information Technology Services
AADHARHFC,Aadhar Housing Finance Limited,25.706758,248.777,,0.086,178873368576.0,Financial Services,Mortgage Finance
AAKASH,Aakash Exploration Services Limited,1.4009984,29.875,,-0.375,852524992.0,Energy,Oil & Gas Equipment & Services
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,17.303318,28.505,,-0.36,1035215424.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARON,Aaron Industries Limited,51.28093,89.772,,0.496,3689708288.0,Industrials,Specialty Industrial Machinery
AARTECH,Aartech Solonics Limited,46.603176,13.483,,2.107,1877630720.0,Industrials,Electrical Equipment & Parts
AARTIDRUGS,Aarti Drugs Limited,20.444714,46.181,,0.017,31182393344.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIIND,Aarti Industries Limited,37.896038,71.339,,-0.629,138754523136.0,Basic Materials,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Limited,26.880684,20.815,,0.402,67051507712.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARTISURF,Aarti Surfactants Limited,39.35657,50.869,,-0.879,3725123328.0,Basic Materials,Specialty Chemicals
AARVEEDEN,Aarvee Denims & Exports Limited,19.994623,397.884,,,3500203776.0,Consumer Cyclical,Textile Manufacturing
AARVI,Aarvi Encon Limited,15.076023,28.251,,-0.012,1524526080.0,Industrials,Staffing & Employment Services
AAVAS,Aavas Financiers Limited,26.383682,308.257,,0.253,148204240896.0,Financial Services,Mortgage Finance
ABAN,Aban Offshore Limited,,,,,2332861184.0,Energy,Oil & Gas Drilling
ABB,ABB India Limited,57.80406,0.733,28.796,0.56,1084968796160.0,Industrials,Specialty Industrial Machinery
ABBOTINDIA,Abbott India Limited,47.16954,1.718,,0.16,629176008704.0,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL,Aditya Birla Capital Limited,11.437941,399.158,,-0.043,422800162816.0,Financial Services,Financial Conglomerates
ABDL,Allied Blenders and Distillers Limited,2472.6924,51.119,,,89912786944.0,Consumer Defensive,Beverages - Wineries & Distilleries
ABFRL,Aditya Birla Fashion and Retail Limited,,243.78,,,291862380544.0,Consumer Cyclical,Apparel Manufacturing
ABINFRA,A B Infrabuild Limited,53.040462,54.339,,0.381,5414996480.0,Industrials,Engineering & Construction
ABMINTLLTD,ABM International Limited,272.2222,124.989,,,460992000.0,Basic Materials,Specialty Chemicals
ABREL,Aditya Birla Real Estate Limited,142.8238,115.735,,,196218585088.0,Basic Materials,Paper & Paper Products
ABSLAMC,Aditya Birla Sun Life AMC Limited,18.762299,2.294,,0.07,170551738368.0,Financial Services,Asset Management
ACC,ACC Limited,13.440626,2.735,,1.031,348355461120.0,Basic Materials,Building Materials
ACCELYA,Accelya Solutions India Limited,19.802202,10.128,33.332002,0.046,19052675072.0,Technology,Information Technology Services
ACCURACY,Accuracy Shipping Limited,13.716665,96.157,,,1239108736.0,Industrials,Integrated Freight & Logistics
ACE,Action Construction Equipment Limited,35.20642,8.237,,0.266,137022922752.0,Industrials,Farm & Heavy Construction Machinery
ACEINTEG,Ace Integrated Solutions Limited,33.983604,2.2,,,211446000.0,Industrials,Staffing & Employment Services
ACI,Archean Chemical Industries Limited,42.548363,8.602,9.965,-0.529,70717825024.0,Basic Materials,Chemicals
ACL,Andhra Cements Limited,,293.077,,,5216019456.0,Basic Materials,Building Materials
ACLGATI,Allcargo Gati Limited,,28.116,,-0.934,7998702080.0,Industrials,Integrated Freight & Logistics
ACMESOLAR,Acme Solar Holdings Limited,,546.496,,1.613,121665052672.0,Utilities,Utilities - Renewable
ADANIENSOL,Adani Energy Solutions Limited,115.00735,178.762,,0.661,940842483712.0,Utilities,Utilities - Independent Power Producers
ADANIENT,Adani Enterprises Limited,74.08606,168.936,,-0.97,2564526702592.0,Energy,Thermal Coal
ADANIGREEN,Adani Green Energy Limited,111.1514,306.013,,1.056,1384368308224.0,Utilities,Utilities - Renewable
ADANIPORTS,Adani Ports and Special Economic Zone Limited,23.868628,85.449,,0.142,2417628545024.0,Industrials,Marine Shipping
ADANIPOWER,Adani Power Limited,15.846486,65.013,,0.16,1974753296384.0,Utilities,Utilities - Independent Power Producers
ADFFOODS,ADF Foods Limited,32.173183,11.537,,-0.028,25361944576.0,Consumer Defensive,Packaged Foods
