SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
ADORWELD,Ador Welding Limited,33.161076,8.397,,-0.12,14805148672.0,Industrials,Specialty Industrial Machinery
ADROITINFO,Adroit Infotech Limited,14.530121,28.292,,-0.75,653377024.0,Technology,Information Technology Services
ADSL,Allied Digital Services Limited,21.472414,10.869,,0.417,10533841920.0,Technology,Information Technology Services
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,21.462093,1.916,,0.284,5495468544.0,Consumer Cyclical,Lodging
ADVENZYMES,Advanced Enzyme Technologies Limited,23.43592,3.378,,-0.102,31097325568.0,Basic Materials,Specialty Chemicals
AEGISLOG,Aegis Logistics Limited,47.33719,92.2,,-0.046,273091346432.0,Energy,Oil & Gas Refining & Marketing
AEROFLEX,Aeroflex Industries Limited,43.654232,0.233,,0.686,22694367232.0,Industrials,Metal Fabrication
AETHER,Aether Industries Limited,100.96178,10.455,5.056,1.477,108741550080.0,Basic Materials,Specialty Chemicals
AFCONS,Afcons Infrastructure Limited,32.282684,91.816,,0.257,168004173824.0,Industrials,Engineering & Construction
AFFLE,Affle (India) Limited,58.279095,4.998,,0.248,213816737792.0,Communication Services,Advertising Agencies
AFFORDABLE,Affordable Robotic & Automation Limited,33.401672,51.668,,,4488960512.0,Industrials,Specialty Industrial Machinery
AFIL,Akme Fintrade (India) Limited,21.287958,57.139,,0.45,3484789760.0,Financial Services,Credit Services
AGARIND,Agarwal Industrial Corporation Limited,11.958212,52.459,,0.003,14725147648.0,Basic Materials,Specialty Chemicals
AGARWALEYE,Dr. Agarwal's Health Care Limited,157.85455,66.391,,0.014,137123512320.0,Healthcare,Medical Instruments & Supplies
AGI,AGI Greenpac Limited,17.039885,31.717,,0.349,49477337088.0,Consumer Cyclical,Packaging & Containers
AGIIL,Agi Infra Limited,33.11359,55.164,,0.278,19943761920.0,Real Estate,Real Estate - Development
AGRITECH,Agri-Tech (India) Limited,147.25555,,,,789471936.0,Consumer Defensive,Farm Products
AGROPHOS,Agro Phos India Limited,71.309525,45.945,,,607209280.0,Basic Materials,Agricultural Inputs
AGSTRA,AGS Transact Technologies Limited,,199.958,,,902617536.0,Technology,Software - Infrastructure
AHL,Abans Holdings Limited,8.989334,94.114,,0.12,8951987200.0,Financial Services,Capital Markets
AHLADA,Ahlada Engineers Limited,5.6325755,29.304,,-0.869,768541056.0,Industrials,Building Products & Equipment
AHLEAST,Asian Hotels (East) Limited,8.780078,134.508,,1.762,2369178880.0,Consumer Cyclical,Lodging
AHLUCONT,Ahluwalia Contracts (India) Limited,17.477402,4.304,,-0.296,55882637312.0,Industrials,Engineering & Construction
AIAENG,AIA Engineering Limited,28.924395,1.967,,-0.063,297752723456.0,Industrials,Specialty Industrial Machinery
AIIL,Authum Investment & Infrastructure Limited,7.1210837,6.974,,-0.103,286110416896.0,Financial Services,Capital Markets
AIRAN,Airan Limited,13.151659,0.51,,-0.44,3469305088.0,Technology,Information Technology Services
AIROLAM,Airo Lam limited,19.95464,129.531,,-0.416,1451893504.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AJANTPHARM,Ajanta Pharma Limited,34.7296,0.892,,0.115,310497181696.0,Healthcare,Drug Manufacturers - Specialty & Generic
AJAXENGG,Ajax Engineering Limited,28.68359,0.189,,0.262,69799706624.0,Industrials,Farm & Heavy Construction Machinery
AJMERA,Ajmera Realty & Infra India Limited,23.62726,78.303,,0.054,33520044032.0,Real Estate,Real Estate - Development
AJOONI,Ajooni Biotech Limited,26.772726,2.36,4.2700000000000005,-0.84,585297536.0,Consumer Defensive,Packaged Foods
AKASH,Akash Infra-Projects Limited,27.96907,105.015,,,457479616.0,Industrials,Engineering & Construction
AKG,Akg Exim Limited,45.357143,25.998,1.5230000000000001,-0.667,403562816.0,Industrials,Industrial Distribution
AKI,AKI India Limited,39.285717,34.988,,1.0,730390656.0,Consumer Cyclical,Footwear & Accessories
AKSHAR,Akshar Spintex Limited,,41.621,,,448856768.0,Consumer Cyclical,Textile Manufacturing
AKSHARCHEM,AksharChem India Limited,,26.108,,2.61,1726197632.0,Basic Materials,Specialty Chemicals
AKSHOPTFBR,Aksh Optifibre Limited,,333.989,,,1558969600.0,Technology,Communication Equipment
AKUMS,Akums Drugs and Pharmaceuticals Limited,44.66169,18.633,,-0.678,68719837184.0,Healthcare,Drug Manufacturers - Specialty & Generic
AKZOINDIA,Akzo Nobel India Limited,37.064423,4.524,,-0.046,159559548928.0,Basic Materials,Specialty Chemicals
ALANKIT,Alankit Limited,17.011494,10.635,,-0.472,4015802112.0,Technology,Information Technology Services
ALBERTDAVD,Albert David Limited,11.827926,0.853,,,4786024448.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALEMBICLTD,Alembic Limited,8.299836,0.722,,0.067,26096132096.0,Real Estate,Real Estate - Development
ALICON,Alicon Castalloy Limited,18.760672,60.482,,-0.953,10769969152.0,Industrials,Metal Fabrication
ALIVUS,Alivus Life Sciences Limited,27.8844,0.629,,0.152,122665664512.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALKALI,Alkali Metals Limited,,,,,854922688.0,Basic Materials,Specialty Chemicals
ALKEM,Alkem Laboratories Limited,26.830584,12.409,,0.052,577343520768.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE,Alkyl Amines Chemicals Limited,48.914036,0.17,,0.309,87294943232.0,Basic Materials,Specialty Chemicals
ALLCARGO,Allcargo Logistics Limited,67.139534,,,2.983,28410361856.0,Industrials,Integrated Freight & Logistics
ALLDIGI,Alldigi Tech Limited,17.464914,15.288,,0.769,14791818240.0,Industrials,Specialty Business Services
ALMONDZ,Almondz Global Securities Limited,21.9,13.477,,-0.882,3773041152.0,Financial Services,Capital Markets
ALOKINDS,Alok Industries Limited,,,,,76264480768.0,Consumer Cyclical,Textile Manufacturing
ALPA,Alpa Laboratories Limited,10.99798,1.374,,0.949,2290900480.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALPHAGEO,Alphageo (India) Limited,93.43969,,,,1532914432.0,Energy,Oil & Gas Equipment & Services
ALPSINDUS,Alps Industries Limited,,,,,97002968.0,Consumer Cyclical,Textile Manufacturing
AMBER,Amber Enterprises India Limited,100.18456,95.3,,,223071059968.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,18.337662,79.303,,,485089760.0,Consumer Defensive,Household & Personal Products
AMBIKCO,Ambika Cotton Mills Limited,12.159278,,,0.097,8024159744.0,Consumer Cyclical,Textile Manufacturing
AMBUJACEM,Ambuja Cements Limited,29.607624,1.301,,1.225,1301019885568.0,Basic Materials,Building Materials
AMDIND,AMD Industries Limited,84.07273,51.456,,,913300160.0,Consumer Cyclical,Packaging & Containers
AMIORG,Ami Organics Limited,77.25682,0.509,,1.35,93956956160.0,Basic Materials,Specialty Chemicals
AMJLAND,Amj Land Holdings Limited,13.250696,4.117,,2.929,1950370048.0,Real Estate,Real Estate - Development
AMNPLST,Amines & Plasticizers Limited,29.070854,34.104,,-0.011,11979777024.0,Basic Materials,Chemicals
AMRUTANJAN,Amrutanjan Health Care Limited,37.683285,0.744,,0.103,18578208768.0,Healthcare,Drug Manufacturers - Specialty & Generic
ANANDRATHI,Anand Rathi Wealth Limited,52.54543,11.665,,0.34,149005746176.0,Financial Services,Asset Management
ANANTRAJ,Anant Raj Limited,39.76481,10.003,,0.455,156763013120.0,Real Estate,Real Estate - Development
ANDHRAPAP,ANDHRA PAPER LIMITED,11.57309,13.044,,-0.858,13853879296.0,Basic Materials,Paper & Paper Products
ANDHRSUGAR,The Andhra Sugars Limited,20.791046,1.43,,-0.919,9458609152.0,Basic Materials,Chemicals
ANGELONE,Angel One Limited,15.396119,59.402,,0.008,206412529664.0,Financial Services,Capital Markets
ANIKINDS,Anik Industries Limited,,1.395,,1.2,3446429696.0,Consumer Defensive,Food Distribution
ANMOL,Anmol India Limited,9.236686,158.723,,-0.91,893464896.0,Energy,Thermal Coal
ANSALAPI,Ansal Properties & Infrastructure Limited,,,,,621952320.0,Real Estate,Real Estate - Development
ANTGRAPHIC,Antarctica Limited,,16.267,,,156560096.0,Consumer Cyclical,Packaging & Containers
ANUHPHR,Anuh Pharma Limited,17.697302,4.654,,-0.459,8859943936.0,Healthcare,Drug Manufacturers - Specialty & Generic
